userid,day1_AI,day1_Human,day1_cos_AI_Human,day1_cos_diary_AI,day1_cos_diary_Human,day2_AI,day2_Human,day2_cos_AI_Human,day2_cos_diary_AI,day2_cos_diary_Human,day3_AI,day3_Human,day3_cos_AI_Human,day3_cos_diary_AI,day3_cos_diary_Human,AI_ave,Human_ave,ave_cos_AI_Human,ave_cos_diary_AI,ave_cos_diary_Human
quartet456,66.8,63.4,0.45070422535211246,0.1289032043271067,0.08819692927644143,78.6,54.8,0.43937477516374684,0.009484746565741059,0.0816802244402289,91.6,73.8,0.5756266417825305,0.04553477908582037,0.3272058496409834,79,64,0.4885685474327966,0.061307576659556044,0.16569433445255125
rdkny933,58.333333333333336,23.666666666666668,0.32826608214930636,0.12611724994284856,0.0,60.2,23.6,0.4112314468122326,0.20262004440545395,0.060508902081605156,53.8,23.4,0.39125402252875,0.1192796809034245,0.02461643338518358,57.5,23.5625,0.3769171838300963,0.14933899175057566,0.028375111822262912
SGƒwƒ‹ƒXƒPƒA,56.166666666666664,18,0.4717295153286296,0.14332379196542397,0.07035975447302918,58,32.8,0.288494881605277,0.10683774402866718,0.13715853329963723,64.4,36.8,0.5226260507274093,0.1318878940881802,0.21849414637922704,59.3125,28.5,0.4276168158871053,0.1273498100274238,0.14200414471729783
shigenoi,36,19.8,0.39901193756050646,0.06372659274182271,0.21081851067789192,58.6,27.6,0.4134428126713457,0.11856488687108797,0.24554382733436914,63.8,25.4,0.2796294703579018,0.07517591283462405,0.1598006930251483,52.8,24.266666666666666,0.364028073529918,0.08582246414917824,0.2053876770124698
ys15_cw,52.8,31.4,0.6250203248727716,0.10213764617139018,0.17107978455366032,93.2,39.2,0.3691647494255662,0.09841356626102458,0.18603885172520285,72.6,23.8,0.5123155195785599,0.17272558970919688,0.12196528714750723,72.86666666666666,31.466666666666665,0.5021668646256325,0.12442560071387054,0.15969464114212348
Yuko_office,43.8,15.8,0.38169314268455723,0.031111687258802503,0.09271726499455304,50.6,33.2,0.29083429059274385,0.0871627267280818,0.15794943794779695,60.6,35.6,0.4634811914358712,0.17879275486839236,0.2140732875368025,51.666666666666664,28.2,0.3786695415710574,0.09902238961842555,0.1549133301597175
yume43,34.4,14.4,0.24937733402690823,0.1488687935206897,0.14213381090374033,41.4,5.2,0.1684303842133038,0.15628547684260563,0.11598670095405887,56.6,8.6,0.47609522856952324,0.027602622373694163,0.01449427589131121,44.13333333333333,9.4,0.29796764893657846,0.11091896424566317,0.09087159591637013
‚É‚á‚·‚à,49.9,19.9,0.2834634685081248,0.3274241961043135,0.14146466837846197,61,14.833333333333334,0.46,0.2134979984656466,0.19824814143238606,57.5,23.166666666666668,0.25446209512303813,0.2357932475675578,0.10384692194752959,55,19.40909090909091,0.33264185454372097,0.25890514737917264,0.1478532439194592
5596175,45.2,9.2,0.2896620610108288,0.1290537464293871,0.1949202938963626,54,17.6,0.4212327394808181,0.11900974727497104,0.09045340337332908,41.2,18.4,0.2507849312877596,0.21803950825005547,0.6158450226018857,46.8,15.066666666666666,0.3205599105931355,0.15536766731813786,0.30040623995719246
1472598,68.8,45.4,0.3468878079847373,0.04548462788368519,0.04013939192492974,63.6,42.4,0.4695129501661913,0.03798357034142275,0.09567297464698798,60.6,43.2,0.33946736991660226,0.05455447255899809,0.09091372900969896,64.33333333333333,43.666666666666664,0.3852893760225103,0.04600755692803534,0.07557536519387223
4173223,46.6,26.8,0.3632696097723621,0.046080625226164636,0.06137886606124273,59.2,24.4,0.5166614495546454,0.16826944684515083,0.09211323729436766,75.4,31.4,0.5438214642237083,0.05418880298649154,0.07352146220938077,60.4,27.533333333333335,0.47458417451690527,0.08951295835260234,0.07567118852166371
5616595,56.8,48,0.3042434922296655,0.17347216662217768,0.22499999999999998,86.4,63.6,0.3347270676350703,0.14168136122094915,0.235470155700721,79.8,82.4,0.5542162148246988,0.05492223570935858,0.14071621685349567,74.33333333333333,64.66666666666667,0.3977289248964782,0.12335858785082847,0.20039545751807222
115345,50.8,37.8,0.17686307531415274,0.06523835974245733,0.23797654923285427,47.4,35.6,0.3307592922378892,0.12117874323511163,0.19539485231527184,59.4,43,0.28049910913051973,0.23651807513796064,0.29494904534946115,52.53333333333333,38.8,0.2627071588941872,0.14097839270517654,0.24277348229919576
mo3177chi,43.4,16.6,0.4051902077760665,0.27837623472861034,0.17175651668417077,46.166666666666664,15.666666666666666,0.34657425918357315,0.3062806236152095,0.37874458627058927,47.4,16,0.246416441453479,0.07896318758973482,0.16450708866607225,45.6875,16.0625,0.3327269694710395,0.22120668197785157,0.23833606387361075
5859850,25,8.6,0.30429030972509225,0.1026529805149473,0.18741784341058307,46.4,15.6,0.3629770043203139,0.09458888456739008,0.15075567228888181,45.6,17.6,0.2537729606626881,0.1718969563764615,0.138946694858375,39,13.933333333333334,0.30701342490269806,0.12304627381959962,0.15904007018594662
5517900,35.4,21,0.37688918072220445,0.08755626081266685,0.17599470615885687,60.4,18,0.549029773105496,0.3169328455231938,0.2880092164423916,58,30.6,0.5169298742047713,0.207564399003698,0.32765092140897234,51.266666666666666,23.2,0.48094960934415726,0.20401783511318622,0.26388494800340695
4006340,36.833333333333336,23,0.4011887099014389,0.0732589674393008,0.13776876860477166,58.4,33.6,0.5969620057957092,0.09284766908852593,0.23754227473946873,57.8,19,0.4014478229518501,0.12286760980307056,0.18003601080360124,50.125,25.0625,0.46653284621633273,0.09632474877696576,0.18511568471594722
1778742,53.2,41.2,0.5703252561765234,0.04309971159206156,0.09872310490332631,49.2,37.2,0.443888015142772,0.11069884605910334,0.12788955112115238,52.2,39.8,0.2886751345948129,0.16518490410011435,0.3717244915335728,51.53333333333333,39.4,0.4342961353047028,0.10632782058375975,0.19944571585268384
1452004,69.2,47.8,0.4563450072344552,0.3151756534950496,0.08661457101549273,43,29.2,0.4667679727932627,0.17582116144793136,0.2544668214693216,60.6,43.8,0.4461089081095971,0.10050378152592121,0.07336739820667777,57.6,40.266666666666666,0.4564072960457717,0.19716686548963405,0.13814959689716402
4008717,58,40,0.34283054546571895,0.07494165750308579,0.19692555848027793,71.2,63.4,0.26689387233408335,0.07452111895790614,0.2001646750772071,72.6,58,0.5536028653855479,0.085896840058196,0.06582531619606782,67.26666666666667,53.8,0.3877757610617834,0.07845320550639598,0.15430518325118428
