userid,day1_AI,day1_Human,day1_cos,day2_AI,day2_Human,day2_cos,day3_AI,day3_Human,day3_cos,AI_ave,Human_ave,ave_cos
5616595,56.8,48,0.3042434922296655,86.4,63.6,0.3347270676350703,79.8,82.4,0.5542162148246988,74.33333333333333,64.66666666666667,0.3977289248964782
115345,50.8,37.8,0.17686307531415274,47.4,35.6,0.3307592922378892,59.4,43,0.28049910913051973,52.53333333333333,38.8,0.2627071588941872
mo3177chi,43.4,16.6,0.4051902077760665,46.166666666666664,15.666666666666666,0.34657425918357315,47.4,16,0.246416441453479,45.6875,16.0625,0.3327269694710395
5859850,25,8.6,0.30429030972509225,46.4,15.6,0.3629770043203139,45.6,17.6,0.2537729606626881,39,13.933333333333334,0.30701342490269806
5517900,35.4,21,0.37688918072220445,60.4,18,0.549029773105496,58,30.6,0.5169298742047713,51.266666666666666,23.2,0.48094960934415726
4006340,36.833333333333336,23,0.4011887099014389,58.4,33.6,0.5969620057957092,57.8,19,0.4014478229518501,50.125,25.0625,0.46653284621633273
1778742,53.2,41.2,0.5703252561765234,49.2,37.2,0.443888015142772,52.2,39.8,0.2886751345948129,51.53333333333333,39.4,0.4342961353047028
1452004,69.2,47.8,0.4563450072344552,43,29.2,0.4667679727932627,60.6,43.8,0.4461089081095971,57.6,40.266666666666666,0.4564072960457717
4008717,58,40,0.34283054546571895,71.2,63.4,0.26689387233408335,72.6,58,0.5536028653855479,67.26666666666667,53.8,0.3877757610617834
1743130,55.6,19.4,0.4919349550499537,52.2,30.8,0.31703756956048684,49.4,21.8,0.43852900965351466,52.4,24,0.41583384475465174
5479130,33.6,14.2,0.38624363966821407,54.4,17.4,0.20114557032045338,51,24.2,0.29398736610366677,46.333333333333336,18.6,0.29379219203077805
4213579,39.8,29.4,0.4880935300919763,48.4,28.8,0.5539117094069973,48.8,33.6,0.33447293779724757,45.666666666666664,30.6,0.4588260590987404
2600289,43,29.2,0.5244883489354306,58.8,20.6,0.5008290897557436,67.6,23.4,0.2858455209730137,56.46666666666667,24.4,0.43705431988806265
4011894,39.2,20,0.537430772925014,72.2,34.8,0.481047144930418,64.6,33,0.2901852153495405,58.666666666666664,29.266666666666666,0.4362210444016575
4551146,40.2,29.6,0.26082026547865056,49.4,36.6,0.28769822778437526,49.2,42.2,0.42292054645983573,46.266666666666666,36.13333333333333,0.32381301324095385
877724,38,24.4,0.347524023428458,66.6,44.8,0.42485291572496003,59.6,29.4,0.27076518053694115,54.733333333333334,32.86666666666667,0.3477140398967864
4150657,41,19,0.5778789783381383,50.6,20.4,0.5487954724560282,68.8,21.2,0.44844852933087487,53.46666666666667,20.2,0.5250409933750138
1065632,64.8,51.6,0.4280853369162333,57.6,20.8,0.2769981308412334,60.4,50.2,0.26294249557814203,60.93333333333333,40.86666666666667,0.3226753211118696
2106307,50.6,36.6,0.4675585992561555,60.8,31.2,0.3616588191227686,52.6,50.2,0.3973597071195133,53.65,38.65,0.40885904183281246
4409144,67,46.4,0.45372592569293224,70.2,37,0.43262342692581063,67.2,51.8,0.28578331550164576,68.13333333333334,45.06666666666667,0.3907108893734629
2977582,38.6,23.4,0.4543694673976518,49.8,21.8,0.43519413988924466,58,19.2,0.3565120479536904,48.8,21.466666666666665,0.4153585517468623
776557,57,28.8,0.6016355697463565,61,33.6,0.6414925312583216,70.2,26.6,0.5572176977890005,62.733333333333334,29.666666666666668,0.6001152662645596
4758400,39,28,0.5980568180967071,62.6,34,0.38548087581354473,42.4,25.4,0.3651483716701107,48,29.133333333333333,0.44956202186012084
4923339,59.8,34.8,0.540108481434213,66,43.6,0.4415972337810969,82.2,59.2,0.42138640629379587,69.33333333333333,45.86666666666667,0.46769737383636856
2810580,53.2,32,0.48107023544236377,68.6,34.8,0.409519435077467,57.6,34.6,0.25649458802128855,59.8,33.8,0.38236141951370645
Togotogo,39.8,25.6,0.5039032598602688,69.4,36.4,0.5958445451342201,68.2,57,0.46987403545567646,59.13333333333333,39.666666666666664,0.5232072801500551
tamachi3,36,18.8,0.38604401609572403,59.2,15.2,0.2996672211954121,59,19.8,0.2807449625374386,51.4,17.933333333333334,0.3221520666095249
